,index,dissatisfaction_reason,Quarter,Submitted date,"What was the main purpose of your visit today? Please choose one option only. The list represents broad categories, and you may be asked to further specify the main reason why you visited today.",Approximately how often do you visit My Account?,Overall how satisfied were you with today's experience?,Which option did you choose to login to My Account?,Did/do you need to call the CRA to complete your visit/transaction today?,Are you:,I live in...,What is the highest level of education you have completed?,Would you be willing to indicate in which of the following age categories you belong?,What language do you speak most often at home?,Which of the following categories best describes your current employment status?,"Which of the following categories best represents your most recent annual household income, before taxes?",Are you an Aboriginal person?,Are you a person with a disability?,Are you a member of a visible minority group?,From what type of device did you access My Account today?,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text,Second_Topic,Third_Topic
0,17,"couldn't find my gst assessment  it logged me out/timed out during setup/printed a blank page/says only ONE page to be printed, printed 3 pages  2 were BLANK with just URL",Q4,1/4/2018,"Proof of income statement (option ""C"" print)",This was my first visit,Very dissatisfied,CRA user ID and password,Yes,Male,Alberta,Some university,50 to 54,English,Other,"$20,000 to under $40,000",No,Yes,No,Desktop or laptop computer,4.0,0.656000018119812,"find, tax, receive, return, mail, say, need, log, year, process","['find', 'gst', 'assessment', 'log', 'time', 'setup', 'print', 'blank', 'page', 'say', 'page', 'print', 'print', 'page', 'blank', 'urls']",5.0,8.0
1,36,more dissatisfied by the cra and the time table for my reassesment of my 2016 taxes,Q4,1/4/2018,Tax returns,Once per month or more,Very dissatisfied,,Yes,Male,Ontario,High school graduate,35 to 49,English,Working full-time (35+ hours per week),"$40,000 to under $60,000",No,No,No,Desktop or laptop computer,3.0,0.5217000246047974,"time, available, reassessment, login, never, option, service, take, long, taxis","['dissatisfied', 'time', 'table', 'reassessment', 'taxis']",3.0,0.0
2,56,"This site is not user friendly at all, specially for people, who are not accustomed to the use of computer.",Q4,1/5/2018,Tax returns,Once per month or more,Somewhat dissatisfied,,No,Male,Ontario,Prefer not to say,Prefer not to say,Other,Prefer not to say,Prefer not to say,No,Prefer not to say,Yes,Desktop or laptop computer,7.0,0.382099986076355,"pension_plan, today, have, end, etc, detail, slip, allow, value, prevent","['site', 'user_friendly', 'specially', 'people', 'accustomed', 'use', 'computer']",5.0,10.0
3,58,The option to login on the canada.ca site feels hidden,Q4,1/5/2018,Online mail,Once or twice per year,Somewhat dissatisfied,,No,Male,New Brunswick,High school graduate,18 to 34,English,Working full-time (35+ hours per week),"Under $20,000",No,No,No,Smartphone,3.0,0.30379998683929443,"time, available, reassessment, login, never, option, service, take, long, taxis","['option', 'login', 'canada', 'site', 'feel', 'hide']",6.0,5.0
4,72,"could not access my spouse (my wife account) yet I am her representative, We are living in Czech republic not easy to reach by the phone (expensive)",Q4,1/5/2018,Tax returns,Once every 2 to 3 months,Very dissatisfied,,No,Male,I currently live outside of Canada,College/vocational/technical school,65 or older,Other,Retired,"$40,000 to under $60,000",No,Yes,No,Desktop or laptop computer,5.0,0.5846999883651733,"account, access, instalment, error, statement, view, user, address, easy, phone","['access', 'spouse', 'wife', 'account', 'representative', 'living', 'czech', 'republic', 'easy', 'reach', 'phone', 'expensive']",0.0,2.0
5,85,TFSA contribution amount 2018 is not updated yet.,Q4,1/5/2018,RRSP and TFSA,Once or twice per year,Somewhat dissatisfied,,No,Male,Ontario,Some university,55 to 64,English,Working full-time (35+ hours per week),"$100,000 to under $120,000",No,No,No,Desktop or laptop computer,0.0,0.6086000204086304,"update, able, email, check, answer, ask, know, understand, message, like","['tfsa_contribution', 'update']",1.0,2.0
6,116,Didn’t really get an answer,Q4,1/5/2018,Benefits and tax credits information,Once per month or more,Somewhat dissatisfied,,Yes,Female,Manitoba,College/vocational/technical school,35 to 49,English,Not in the workforce,"Under $20,000",No,Yes,No,Smartphone,0.0,0.5625,"update, able, email, check, answer, ask, know, understand, message, like",['answer'],1.0,2.0
7,120,No explanation as to when I will receive my refund from a reassessment of med exp & no contact # to enquire,Q4,1/5/2018,Accounts and payments,Once per month or more,Somewhat dissatisfied,,Yes,Female,Alberta,College/vocational/technical school,35 to 49,English,Working full-time (35+ hours per week),Prefer not to say,No,No,No,Desktop or laptop computer,4.0,0.5231000185012817,"find, tax, receive, return, mail, say, need, log, year, process","['explanation', 'receive', 'refund', 'reassessment', 'med', 'exp', 'contact', 'enquire']",8.0,1.0
8,129,I mailed my 2015 tax return 2.5 months ago and I am unable to confirm receipt nor find out it's processing status,Q4,1/5/2018,Tax returns,Once per month or more,Very dissatisfied,,Yes,Female,Saskatchewan,University graduate,55 to 64,English,Working full-time (35+ hours per week),"$100,000 to under $120,000",No,No,No,Desktop or laptop computer,4.0,0.9204999804496765,"find, tax, receive, return, mail, say, need, log, year, process","['mail', 'tax', 'return', 'months_ago', 'unable', 'confirm', 'receipt', 'find', 'processing', 'status']",6.0,3.0
9,139,Je reçois une lettre qui me donne des renseignements qui ne semblent pas nécessaire parce que mon compte ouvre sans que les renseignements aient été captés!,Q4,1/5/2018,Your personal information,Once or twice per year,Somewhat dissatisfied,,Prefer not to say,Male,Quebec,University graduate,65 or older,French,Retired,Prefer not to say,No,No,No,Desktop or laptop computer,5.0,0.4657999873161316,"account, access, instalment, error, statement, view, user, address, easy, phone","['regis', 'letter', 'que', 'donne', 'de', 'reassignments', 'que', 'select', 'pas', 'necessary', 'pace', 'que', 'mon', 'compete', 'louvre', 'sans', 'que', 'les', 'reassignments', 'agent', 'cat']",,
